source_lemma,target_translation
otonské umění,Ottonian art
otopná pec,oven
otopné zařízení,heating equipment
otroctví,slavery
otrok,slave
otrokyně,slave women
ovce,sheep
oves,oats
ovčí vlna,sheep wool
ozdoba,adornment
oštěp,javelin
oštěp/hrot oštěpu,javelin/javelin head
pacht,ground rent
paelignové,Paeligni
paflagonie,Paphlagonia
palaistra,palaestra
palau,Palau
palcát,mace (palcát)
palebné postavení,gun emplacement
paleoantropologie,paleoanthropology
paleobiogeografie,paleobiogeography
paleobiologie,paleobiology
paleobotanika,paleobotany
paleodemografie,palaeodemography
paleodermatoglyfika,paleodermatoglyphics
paleoekologie,paleoecology
paleoentomologická analýza,palaeoentomology
paleogeografie,paleogeography
paleografie,paleography
paleogén,palaeogene
paleoklimatologie,paleoclimatology
paleolit,Palaeolithic
paleolit-mezolit,Palaeolithic-Mesolithic
paleolit–mezolit,Palaeolithic–Mesolithic
paleontologická sbírka,paleontological collection
paleontologie,paleontology
paleopatologie,paleopathology
paleopedologie,palaeopedology
paleopůda,paleosol
paleozoogeografie,paleozoogeography
paleozoologie,zoopaleontology
palestina,"Palestine, State of"
palice,club
palisáda,palisade
palla,palla
palladium,palladium
palmeta,palmette
palná zbraň,firearm
paludamentum,paludamentum
palynologie,palynology
palác,palace
pamfýlie,Pamphylia
památková péče,historic preservation
památková rezervace,heritage reserve
památková zóna,heritage zone
památkový objekt,listed monument
památkový ústav,heritage institute
památkově chráněné území,historically preserved area
památkář,preservationist
památkářka,woman preservationist
památník,Album Amicorum
panama,Panama
panathénajské amfory,panathenaic amphorae
pancíř,cuirass
panenteismus,panentheism
pannotypie,pannotype
panonie,Pannonia
panova flétna,pan flute
panovnice,queen
panovnická dynastie,dynasty
panovnické dynastie z prostoru středovýchodní evropy,ruling dynasties from East-Central Europe
panovnický dvůr,royal court
panovník,king
panteismus,pantheism
pantokrator,Christ Pantocrator
papež,pope
papežská rezidence,residence of pope
papežský dokument,papal documents
papežský stát,papal states
papežství,papacy
papua nová guinea,Papua New Guinea
papyrologie,papyrology
papyrový rukopis,papyrus manuscript
papyrový svitek,papyrus scroll
papyrus,papyrus
papír,paper
papír kladívkový,drawing paper
papír milimetrový,graph paper
papír s fotografiemi,paper with photographs
papír sešit,booklet
papír vázaný,bounded paper
paradigma vědy,paradigma of science
paraguay,Paraguay
parazitologická diagnostika,parasitological diagnostics
parisiové,Parisii
park,park
parkán,zwinger
parkánová hradba,zwinger wall
parnas,Parnass
parodos,parodos
paroh,antler
parský mramor,parian chronicle
parthové,Parthians
parthská říše,Parthian Empire
parva,parvus
pasionál,passional
pasquino,pasquino
pastevec,herdsmen
pastevectví,pastoralism
pastevní chov,grazing
pastvina,pasture
pastvina/louka,pasture/meadow
pasíř,belt maker
pasířství,girdlery
pataréni,Patarines
patriarcha,patriarch
patriarchát,patriarchy
patrilinearita,patrilineal kinship
patronace,patronage
paulikiánství,Paulician
pauláni,Paulaner
paulánský klášter,Minim monastery
pauzák,tracing paper
pavlovien,pavlovian
pazourek,flint
pařížská škola,School of Paris
pec,kiln
pec chlebová,bake oven
pec cihlářská,brick oven
pec dehtářská,tar pit
pec hrnčířská,pottery kiln
pec hutnická,iron-smelting furnace
pec kovolitecká,foundry
pec na chléb,bake oven
pec sklářská,glass furnace
pec vápenická,lime kiln
pecka,fruit stone
pedogeografie,pedogeography
pedologický výzkum,pedological research
pedologie,pedology
pekárna,bakery
pekáč,baking pan
pelagianismus,Pelagianism
pelasgové,Pelasgians
peliké,pelike
peloponés (řecko : poloostrov),Peloponnese
pentelikon,Penteliko Mountain
peplos,peplos
pergamen,parchment
pergamenový papír,greaseproof paper
pergamenový rukopis,parchment manuscript
pergamenový svitek,parchment scroll
pergamon (zaniklé město),Pergamon
peribolos,peribolos
periodizace dějin,periodization in history
peripteros,peripteros
peristyl,peristyle
perla,pearl
perleť/mušle,nacre/shell
permská literatura,Permic literature
permština,Permyak
perská říše,Persian Empire
peru,Peru
petasos,petasos
petroarcheologie,petroarchaeology
petroglyf,petroglyph
petrografická analýza,petrological analysis
petrografie/mineralogie,petrography
petrologie,petrography
pevnost,fortress
pečeněhové,Pecheneg
pečetidlo,sealing-stick
pečeť,seal
piaristický klášter,Piarist monastery
piastovci,Piast dynasty
picenum,Picenum
picí roh,drinking horn
pieria (řecko),Pieria
piktogram,pictograph
piktové,Picti
pila,saw
pileus,pileus
piliňská kultura,Piliny culture
pilník,file
pilota,pier
pilotové základy,piled foundations
pilíř,pillar
pinakothéka,pinacotheca
pinax,pinax
pinka,binge
pinzeta,tweezers
piscina,piscina
pitcairn,Pitcairn
pithos,pithos
pivo,beer
pivovar,brewery
pivovarnictví,beer industry
pivovarník,brewer
plast,plastic
plastika/soška,sculpture/statue
plastika/soška antropomorfní,anthropomorphic sculpture/statue
plastika/soška zoomorfní,zoomorphic sculpture/statue
plasy,Plasy
platidlo,currency
platnéř,platener
platnéřství,armour making
platěnická kultura,Platěnice Culture
plavební kanál,canal
plaňanský typ,Plaňany Type
plech,metal sheet
pleistocén,pleistocene
pleva,husk
plevel,weed
plinthos,plinth
plot,fence
plošina,platform
plošný objekt,polygonal feature
plošný odkryv,total excavation
pluh,plow
plužina,field system
plán lokality,plan of site
plán objektu,plan of feature
plán regionu,plan of region
plán sondy,plan of trench
plán výzkumu,plan of fieldwork
plány,plans
plány (digitální),plans (digital)
plátenictví,linen industry
plátová zbroj,plate armour
pobřežní opevnění,coastal fortification
pobřeží slonoviny,Côte d'Ivoire
pochva,scabbard
pochva/pouzdro,sheath
poddanské město,tributary town
poddanství,serfdom
poddaný,retainer
podhradí,extramural settlement
podkova,horseshoe
podkovář,farrier
podkovářství,farriery
podlaha,floor
podlaha (konstrukce),floor (construction)
podlaha (vrstva),floor layer
podlaha (vrstva/souvrství),floor layer/sequence
podloží,subsoil
podmokelská kultura,Podmokly group
podmokelská skupina,Podmokly Group
podmořská archeologie,maritime archaeology
podolská kultura,Podolí Culture
podolí,Podolia
podorničí/podloží,subsoil
podvodní archeologie,underwater archaeology
podzemní štola,drift
pohan,pagan
pohanství,paganism
pohoří,mountain range
pohraniční konflikt,border conflict
pohádka,folk tale
pohár,beaker
pohár/číše,beaker/goblet
pohřbívání,burial activity
pohřeb,burial
pohřeb kostrový,inhumation burial
pohřeb v sídlištním objektu,burial in settlement context
pohřeb zvířete,animal burial
pohřeb žárový,cremation burial
pohřebiště,burrial ground
pohřebiště v sakralní stavbě,burials in sacral building
pohřebiště v sakrální stavbě,burials in sacral building
pohřebiště/hřbitov,cemetery/graveyard
pohřební areál,burial site
pohřební objekt,funerary structure
pohřební obřad,funeral ceremony
pointilismus (umění),pointilism (art)
pojivo,binder
poklad,treasure
poklice,lid
poklička,lid
pokrmové tuky,food lipids
pokrývač,roofer
pokrývačské práce,roofing
pokrývky hlavy,cap
pole,cropland
polenta,polenta
polesí,Polesia
polis,poleis
politická elita,political elite
politické dějiny,political history
polní opevnění,field fortification
polocké knížectví,Principality of Polotsk
poloha podle katastru,location by cadastral area
polostrukturovaný rozhovor,semi-structured interview
polotovar,semifinished artefact
polsko,Poland
polygon,polygon
polygon archeologického průzkumu,archaeological survey polygon
polygon leteckého průzkumu,aerial survey polygon
polygon průzkumu,survey polygon
polyptychon,polyptych
polyteismus,polytheism
pomník/památník,memorial
pomocné vědy historické,auxiliary sciences of history
pomořansko,Pomerania
pontská říše,Kingdom of Pontus
popel,ash
popelnice,urn
popisná statistika,descriptive statistics
poplužní dvůr,Meierhof
popraviště,execution site
popularizace vědy,popularization of science
populační hustota,population density
populační růst,population growth
porcelán,porcelain
porod,childbirth
porodnost,natality
portoriko,Puerto Rico
portugalsko,Portugal
portál,portal
porážka zvířat,slaughter
pospolitost (ferdinand tönnies),Community (Ferdinand Tönnies)
postdepoziční transformace,post-depositional transformation
postimpresionismus,post-impressionism
postmodernismus,Postmodernism
postprocesuální archeologie,post-processual archaeology
postroj/doprava,harness/transportation
poststrukturalismus,post-structuralism
poststrukturální antropologie,poststructuralism
posvátný háj,sacred grove
posvícení,kermesse
potrubí,plumbing pipe
poustevna,hermitage
poustevnice,anchoress
poustevnictví,hermitage
poustevník,hermit
poutko,loop
poutní místo,pilgrimage place
pouzdro,case
použitelný,useable
povolžské bulharsko,Volga Bulgaria
povolžští bulhaři,Volga Bulgarians
povozník,carter
povrch,surface
povrch sondy,trench surface
povrchová úprava keramiky,ceramics finishing
povrchový důl,opencast mine
povrchový nález,surface find
povrchový sběr,surface collection survey
povstání andriska (151-148 př. kr.),revolt of Andriscus (150-148 B.C.)
povídka,short story
pověst,legend
pozdní doba bronzová,Final Bronze Age
pozdní doba laténská (ltd),Final La Tène Period (LtD)
pozdní paleolit,Epipalaeolithic
pozdní středohradištní období,Final Middle Hillfort Period
pozdní středověk,Late Middle Ages
pozdní středověk (historiografie),Late Middle Ages (historiography)
pozdněhradištní období,Final Hillfort Period
pozemková kniha,land register
pozemní komunikace (areály),land communication (areas)
pozemní komunikace (objekty),land communication (objects)
pozlacování,gilding
pozorování (etnologie),observation (ethnology)
pozorování (geografie),observation (geography)
pozůstatek komunikace,remains of transportation structure
pozůstatek kultu,remains of ritual site
pozůstatek mohylníku,remains of burial mounds
pozůstatek ohrazení,remains of enclosure
pozůstatek represe,remains of repression site
pozůstatek sídla elity,remains of manorial site
pozůstatek sídliště,remains of settlement
pozůstatek těžby,remains of extraction site
pozůstatek vojenství,remains of military site
pozůstatek výroby,remains of production site
počítačová tomografie,computed tomography
pořekadlo,adage
prabulhaři,Proto-Bulgarians
praetorium,praetorium
praha-kbely,Praha-Kbely
praha-letňany,Praha-Letňany
prahory,Archean
prak,sling
prales,primeval forest
pramen,spring
pramen (historiografie),source (historiography)
prameniště,spring area
prameny přírodní,natural source of information
pranostika,weather lore
pranýř,pillory
prase,pig
praslovanština,Proto-Slavic
pravděpodobnostní metoda,probabilistic methods
pravoslavná liturgie,Orthodox liturgy
pravoslavné církve,Orthodox Eastern churches
pravoslavný kněz,Orthodox priest
pravoslavný kostel,Orthodox church
pravoslaví,Orthodox Eastern
pravěk,Prehistory
pravěká keramika,prehistoric pottery
pravěká společnost,prehistoric society
pravěké umění,prehistoric art
pražnice,frying pan
pražský groš,prague groschen
preboreál (paleoklimatologie),Preboreal (paleoclimatology)
predepoziční transformace,pre-depositional transformation
predikční model,predictive model
prehistorická archeologie,prehistoric archaeology
preindustriální město,preindustrial city
prejz,pantile
prelát,prelate
premonstráti,Premonstratensians
premonstrátky,Premonstratensian nuns
premonstrátská spiritualita,Premonstratensian spirituality
premonstrátský klášter,Premonstratensian monastery
presbytář,presbytery
primogenitura,primogeniture
primárně digitální dokument,born digital document
privilegium,privilege
prkno,board
prkno/fošna,board/plank
probošt,provost
procesuální archeologie,processual archaeology
projektil,projectile
projektil/kule/munice,projectile/bullet/ammunition
pronáos,pronaos
propylaje,propylaea
proskénion,proscenium
proso,millet
prosopografie,prosopography
prostorová analýza,spatial analysis
prostorová archeologie,spatial archaeology
prostorová statistika,spatial statistics
prostorová věda,Theoretical Geography
prostylos,prostylos
protestantská liturgie,Protestant liturgy
protoindustrializace,proto-industrialization
protourbánní aglomerace,proto-urban agglomeration
protourbánní osídlení,proto-urban settlement
protoúnětická kultura,Proto-Únětice Culture
proutí,wattle
proutěné výrobky,basketry
provaznictví,ropemaking
provazník,rope maker
provence,Provence
provenience uměleckého díla,provenance of art works
prsten,finger ring
prusko,Prussia
prusové,Old Prussians
prusy knížecí,Duchy of Prussia
prusy královské,West Prussia
pruština,Old Prussian
prvková analýza,elemental analysis
první makedonská válka (215-205 př. kr.),First Macedonian War (First Macedonian War
prvohory,palaeozoic
prvotisk,incunabula
pryskyřice,resin
prytaneion,prytaneion
przeworská kultura,Przeworsk culture
právnička,woman lawyer
právní dějiny,history of law
právní institut,legal institute
právní rámec etnografického výzkumu,legal framework for ethnographic research
právník,lawyer
právo,law
průběžný výzkum,continuous research
průmyslová archeologie,industrial archaeology
průmyslové město,industrial town
průvlečka,clothing buckle
průzkum,survey
průzkum detektorem kovu,metal detector survey
psací materiál,writing material
psací potřeba,writer’s tool
psací tabulka,writing tablet
pseudolokalita (< 5 %),pseudo-site (< 5%)
psychohistorie,Psychohistory
psychologie náboženství,psychology of religion
psychopomp,psychopomp
psyktér,psykter
ptáčnictví,bird catching
ptáčník,bird catcher
publikum,audience
puklice,spangle
puncovní značka,hallmark
purkmistr,burgomaster / burgermeister
purkrabí,burgrave
puteál,puteal
putna,large pitcher
puškař,gunsmith
puškařství,gunsmithing
pyl,polen
pylová analýza,pollen analysis
pylón,pylon
pyramida,pyramid
pyreneje (francie a španělsko : pohoří),Pyrenees
pyrotechnické zařízení,pyrotechnic device
pyrotechnologické zařízení,pyrotechnological device
pyxid,pyxis
pád (itálie : řeka),Po
pákistán,Pakistan
pálení čarodějnic,Walpurgis Night
pánev,pan
pásová zápona,belt fitting
písemnictví,literature
písemnost,written document
písemný pramen,written source
pískovec,sandstone
pískovna,sandpit
písmo,script
píšťala,pipe
púchovská kultura,Púchov culture
pěchota,infantry
pěstní klín,handaxe
"pěstování plodin, chov a lov","crop production, breeding and hunting"
přechod pozdní středověk/novověk,Late Middle Ages/Modern Transition
přechod raný/vrcholný středověk,Early/High Middle Ages Transition
přechodový rituál,rite of passage
přechovávaná přírodnina,natural object
předhradí,bailey
předměstí,suburb
předmět,object
předmět (archeobotanika),subject (archaeobotany)
předmět (demografie),subject (demography)
předmět (dějiny umění),subject (art history)
předmět (památková péče),object (historic preservation)
předmět (religionistika),subject (religious science)
předmět bádání (archeologie),research subject
předmět z bronzu,bronze object
předmět z kamene,stone object
předmět z kosti,bone object
předmět z kovu,metal object
předmět z mědi,copper object
předmět ze stříbra,silver object
předmět ze zlata,gold object
předmět ze železa,iron object
předstihový archeologický výzkum,development-led excavation
přehrada,dam
překlady do církevní slovanštiny,translations into Church Slavic
překlady z církevní slovanštiny,translations from Church Slavic
přelidnění,overpopulation
přemyslovci,Přemyslid dynasty
přeslen,spindle whorl
přesné datum,exact date
přesně v letech,exact years
převýšená plocha,mound
přezka,buckle
přihrádkový email,cloisonné
přilba,helmet
přirozený půdní horizont,natural topsoil
příbuzenství,kinship
příbuzné disciplíny (geologie),related disciplines (geology)
příbuzné obory,Related disciplines
příkop,moat
příkopové ohrazení,ditch enclosure
příloha zprávy/hlášení,report annex
přírodní determinismus,(Natural) Determinism
přírodní fakt,biofact
přírodní útvar,natural landform
přírodní útvar s lidskou aktivitou,inhabited natural landform
přírodovědná sbírka,natural history collection
přísloví,proverb
přístav,port
přístavní město,seaport
přístupy (archeologie),approaches
přívěsek,pendant
přívěsek/závěsek,pendant
pšenice dvouzrnka,emmer wheat
pšenice jednozrnka,einkorn wheat
pšenice špalda,spelt
půda,soil
půdní profil,soil profile
půdní rozbor,soil testing
quadrigae,quadriga
quirité,Quirites
radikální geografie,radical geography
radiokarbonové datování,radiocarbon dating
radiouhlíkové datování,radiocarbon dating
radlice,ploughshare
radnice,town hall
raetie,Raetia
rakev,coffin
rakousko,Austria
rakousko (1867-1918),Cisleithania
ramanova spektrometrie,Raman spectroscopy
rané křesťanství,early Christianity
rané mladohradištní období,Early Late Hillfort Period
rané středohradištní období,Early Middle Hillfort Period
raný novověk,early modern period
raný středověk,Early Medieval
raný středověk (historiografie),Early Middle Ages (historiography)
raný středověk 1,Early Middle Ages 1
raný středověk 2,Early Middle Ages 2
raný středověk 2–4,Early Middle Ages 2–4
raný středověk 3,Early Middle Ages 3
raný středověk 4,Early Middle Ages 4
raně křesťanská architektura,early christian architecture
raně křesťanské malířství,early Christian painting
raně křesťanské sochařství,early Christian sculpture
raně křesťanské umění,early Christian art
rasismus,racism
rašeliniště,peat bog
ražba (mincovnictví),stamp (coinage)
reciprocita,reciprocity
redukce (archeologická transformace),reduction (archaeological transformation)
reflexní luk,reflex bow
regest,regest
regia,regia
regionální dějiny,regional history
regionální geografie,regional geography
regionální geologie,regional geology
regionální muzeum,regional museum
rekonstrukce podoby podle lebky,forensic facial reconstruction
rekonstrukce staveb,reconstruction of buildings
relativní chronologie,relative chronology
religionistika,religious science
religiozita,religiosity
relikviář,reliquary
reliéf (sochařství),relief sculpture
reliéfní útvar,relief feature
renesance,renaissance
renesanční architektura,renaissance architecture
renesanční keramika,renaissance pottery
renesanční malířství,renaissance painting
renesanční nástěnná malba,renaissance mural painting
renesanční oltář,renaissance altar
renesanční portál,renaissance doorway
renesanční sochařství,renaissance sculpture
rentgenová fluorescenční analýza,X-ray fluorescence analysis
replika,replica
republika,republic
rescriptum,rescriptum
respondent,respondent
restaurování,restoration
restaurování muzejních exponátů,restoration of museum exhibits
restaurování památek,antiquities restoration
restaurátorský průzkum,restoration research
retábl,retable
revizní výzkum,revision excavation
rhodos (řecko : ostrov),Rhodes
rhyton,rhyton
rituál,ritual
rituální vražda,ritual murder
rituály a obřady,rites and ceremonies
robota,corvée
rod,lineage
rodokmen,genealogical table
rodová kronika,family chronicle
rodový znak,family coat of arms
roh,horn
rohovec,chert
rokoko,rococo
rokoková architektura,rococo architecture
rokokové malířství,rococo painting
rolnička,jingle bell
rolník,peasant
romanizace,romanization
romantická archeologie,romantic archeology
romantický historismus,romantic historicism
románská architektura,romanesque architecture
románská nástěnná malba,romanesque mural painting
románské malířství,romanesque painting
románské sochařství,romanesque sculpture
románské umění,romanesque art
románský portál,Romanesque doorway
rondel,roundel
rondel/rondeloid,roundel/rondeloid
rostlina,plant
rostlinná výroba,crop production
rostlinné makrozbytky,plant macro-remains
rostra,rostra
rotunda,rotunda
rovníková guinea,Equatorial Guinea
roxolani,Roxolani
rozhovor (etnologie),interview (ethnology)
rozhovor (geografie),dialogue (geography)
ruda,ore
rudní ložisko,ore deposit
rugiové,Rugii
ruina,ruin
rukavičkářství,glove making
rukopis,manuscript
rukopisná iniciála,initial
rumunsko,Romania
runová magie,runic magic
runové nápisy,runic inscriptions
runy,runes
rusko,Russian Federation (the)
ruční bubínek,tympanum
ruština,Russian
rwanda,Rwanda
rybník,pond
rybník/nádrž,pond/water tank
rybolov,fishing
rybářské závaží,sinker
rychtář,reeve
rydlo,graver
rytina,engraving
rytíř,knight
rytířský řeholní řád,order of knighthood and chivalry
rámař,picture framer
rámařství,framing
rétorománi,Romansh people
rétorománská literatura,Raeto-Romance literature
rétorománština,Romansch (Rhaeto-Roman)
réunion,Réunion
rýč,spade
rýžoviště,panning site
rýžování,washing
růženec,rosary
růženec/medailon,rosary/medallion
sabellové,Sabellians
sabinové,Sabines
sad,orchard
sagum,sagum
saint pierre a miquelon,Saint Pierre and Miquelon
sakrální architektura,sacred architecture
salcbursko,Salzburg
salesiánská spiritualita,Salesian spirituality
salpinx,salpinx
salvador,El Salvador
samařsko (západní břeh jordánu),Samaria
samnité,Samnites
samnium (itálie),Samnium
samoa,Samoa
samostatná usedlost,individual homestead
samothraké (řecko : ostrov),Samothrace
san marino,San Marino
sandály,sandals
saně,sleds
sapropelit,sapropel
sardinie (itálie),Sardinia
sarkofág,sarcophagus
sarmati,Sarmatians
sarmatie,Sarmatia
sasko (německo),Duchy of Saxony
saská lužická kultura,Saxonian-Lusatian Culture
saská vévodství,Saxon duchies
sasové,Saxons
satelitní navigační systém,satellite navigation system
satelitní snímek,satellite imaging
savojsko,Savoy
sazená,Sazená
saúdská arábie,Saudi Arabia
sbírkotvorná činnost,collection of specimens
sbírkový předmět,collection’s objects
schizma,Schism
schodiště,staircase
scholion,scholia
schránky měkkýšů,mollusc shell
schusseriedská kultura,Schussenried Culture
secesní malířství,Art Nouveau painting
secesní umění,art nouveau
sediment,sediment
sedimentologický výzkum,sedimentological research
sedimentologie,sedimentology
sedimentární hornina,sedimentary rock
sedlo,saddle
sedlák,farmer
sedlář,saddler
sedlářství,saddlery
sedm divů světa,Wonders of the World
sedmihradsko,Transylvania
seizmicita,seismicity
seizmologie,seismology
sejmský kulturní okruh,Seima-Turbino phenomenon
sejp,spoil heap
sejp/halda,spoil heap
sekera,axe
sekeromlat,hammer-axe
sekeromlat/mlat,hammer axe
sekerovitá hřivna,axe-ingot
sekáč,chopper
seleukovská říše,Seleucid Empire
sella curulis,sella curulis
semeno,seed
senegal,Senegal
seniorát,agnatic seniority
senonové,Senones
seník,hayloft
sequanové,Sequani
servité,Servites
sestertius,sestertius
sesuv půdy,landslide
severní makedonie,North Macedonia
severní mariany,Northern Mariana Islands (the)
severská mytologie,Nordic mythology
severské náboženství,Nordic religion
sexuální dimorfismus,sexual dimorphism
seychely,Seychelles
sečná zbraň,cutting arm
sfragistika,sphragistics
shluk bodových objektů,group of point features
shluková analýza,cluster analysis
sicílie (itálie),Sicily
sierra leone,Sierra Leone
signální nástroj,signaling tool
sikanové,Sicani
silikáty,silicates
silnice,road
silniční síť,road network
sima,sima
sinajský poloostrov (egypt),Sinai Peninsula
singapur,Singapore
sistrum,sistrum
situla,situla
skaldská poezie,scaldic poetry
skalní hrad,rock castle
skalní kaple,rock chapel
skalní klášter,rock monastery
skalní rytina,rock carving
skandinávie,Scandinavia
skanzen,open-air museum
skenovací elektronová mikroskopie,scanning electron microscopy
sklenářství,glazing
skleněný výrobek,glassware
sklep,cellar
sklizňové slavnosti,Harvest festivals
sklo,glass
sklárna,glassworks
sklář,glassworker
sklářka,woman glassworker
sklářská huť,glassworks (sklářská huť)
sklářská pec,glass furnace
sklářství,glassworking
skopci,Skoptsy
skot,cattle
skotsko,Scotland
skotská gaelština,Scots Gaelic
skořápka,egg shell
skořápka plodu,fruit shell/nutshell
skriptorium,scriptorium
skryté pozorování,hidden observation
skupina federmesser,Federmesser group
skupina sond,group of pit trenches
skupina vrtů,group of sediment core samples
skupina řezů,group of linear trenches
skupina/síť sond,group of pit trenches
skupinový rozhovor,group interview
skyfos,skyphos
skytové,Scythians
skytské umění,Scythian art
skéné,skene
skýros (řecko : ostrov),Skyros
skýtie,Scythia
skýtština,Khotan
skříň,wardrobe
skříňkový hrob,cist grave
sladkovodní měkkýš,freshwater mollusc
sladovnictví,malt industry
sladovník,maltster
slatina,fen
slavníkovci,Slavník dynasty
slavonie,Slavonia
slezsko,Silesia
slezsko (polsko),Silesia (Poland)
slezsko (česko),Silesia (Czechia)
slezskoplatěnická kultura,Silesian-Platěnice Culture
slezskoplatěnická kultura (hab),Silesian-Platěnice Culture (HaB)
slezskoplatěnická kultura (hac–d),Silesian–Platěnice Culture (HaC–D)
slezskoplatěnická kultura hac-d,Silesian-Platěnice culture (HaC-D)
slezská knížectví,Duchies of Silesia
slezská kultura,Silesian Culture
slitek,bloom
slitina,alloy
slonovina,elephant ivory
slonovina/mamutovina,ivory
sloup,column
sloupořadí,colonnade
slovanská archeologie,Slavic archaeology
slovanská keramika,Slavic pottery
slovanská kultura,Slavic culture
slovanská liturgie,Slavic liturgy
slovanská magie,Slavic magic
slovanská mytologie,Slavic mythology
slovanské bohyně,Slavic goddesses
slovanské jazyky,Slavic languages
slovanské náboženství,Slavic religion
slovanské pověsti,Slavic legends
slovanské písemnictví,Slavic literature
slovanské písmo,Slavic script
slované,Slavs
slovanští bohové,Slavic gods
slovensko,Slovakia
slovenština,Slovak
slovesný folklor,oral folklore
slovinsko,Slovenia
složky armády,division of army
slunečno,sunny
"slunečno, oblačno","sunny, cloudy"
"slunečno, oblačno, zataženo","sunny, cloudy, overcast"
sládek,brewmaster
sláma,straw
slámování,brushing
smírčí kamen,reconciliation stone
smírčí kříž,wayside cross
smíšený les,mixed forest
snížené podloží,levelled subsoil
socha,statue
sochař,sculptor
sochařka,sculptor (female)
sochařství,sculpture
sochařství 19. století,19th century sculpture
socializace,socialization
socioekonomická geografie,socioeconomic geography
sociogeografická regionalizace,human regionalization
sociologie lidských sídel,sociology of settlements
sociálni stratifikace,social stratification
sociální antropologie,social anthropology
sociální dějiny,social history
sociální endogamie,social endogamy
sociální exogamie,social exogamy
sociální geografie,human geography
sociální identita,social identity
sociální kontext (dějiny umění),social context (art history)
sociální mobilita,social mobility
sociální nerovnost,social inequality
sociální původ,social origin
sociální strategie,social strategy
sociální struktura,social structure
sociální systém,social system
sokolnictví,falconry
solidus,solidus
solný důl,salt mine
solutréen,solutrean
somatometrie,somatometry
somálsko,Somalia
sonda,trench
sondážní výzkum,Exploratory research
soudobé dějiny,contemporary history
soukenictví,drapery
soukeník,clothweaver
soukromá písemnost,private letter
soupis duší,Parish Family Book
soupis lidu,census
soupis obyvatelstva podle víry,register of subjects according to their faith
soutok,confluence
součást domu,component of the house
součást hrobu,grave component
součást komunikace,transportation structure
součást oděvu,costume component
součást pluhu,plow component
součást postroje,harness component
součást vozu,cargo vehicle component
součást zbroje,armor component
součást štítu,shield part
sparťané,Spartiate
spektrografická analýza,spectrograph analysis
spektrometrie,spectrometry
spektrometrie s indukčně vázaným plazmatem,inductively coupled plasma spectrometry
spektrální analýza,spectrum analysis
speleoarcheologie,speleoarchaeology
speleologie,speleology
spilit,spilite
spiritualita,spirituality
spirituální františkáni,Franciscan Spirituals
spiš,Spiš
splach,solifluction
splach/naplavenina,colluvial/alluvial layer
spojené arabské emiráty,United Arab Emirates (the)
spojené království nizozemské (1815-1830/1839),United Kingdom of the Netherlands
spojené státy,United States of America (the)
společenská akce,social event
společenská elita,social elite
společenská třída,social class
společenské poměry,social conditions
společenské postavení,social status
společenské vztahy,social relations
společenství,community (společenství)
společnost,society
společnosti,societies
spona,fibula
spondylus,spondylus
sporady (řecko : souostroví),Sporades
sportovní nářadí,sports equipment
spravedlivá válka,just war
spraš,loess
"správa, písemnictví","administration, literature"
správní aspekty (křesťanství),administrative aspects (Christianity)
srbsko,Serbia
srovnávací anatomie,comparative anatomy
srovnávací metoda,comparative methods
srp,sickle
stabilní katastr,stable cadastre
stacionární výzkum,stationary research
stadion,stadion
stanice,camp
stanice/tábořiště,camp
starec,starets
starokatolický kněz,Old Catholic priest
staroobřadnictví,Old Belief
staroslověnská literatura,Church Slavic literature
staroslověnské legendy,Church Slavic
staroslověnština,"Slavonic, Old Church"
starověcí makedonci,Ancient Macedonians
starověk,ancient history
starověká civilizace,ancient civilization
starověká indie,India
starověká keramika,ancient pottery
starověká sýrie,Syria
starověké řecko,Ancient Greece
starověký egypt,Ancient Egypt
starověký orient,Orient
starozákonní apokryf,Apocryphal books (Old Testament)
stará dolní němčina,old saxon language
stará fríština,old Frisian language
stará irština,Old Irish
stará mapa,old maps
stará maďarština,old Hungarian language
stará severština,Old Norse
stará řečtina,Ancient Greek
starý zákon,Old Testament
starčestvo,starchestvo
starší doba bronzová,Early Bronze Age
starší doba halštatská (hac-d1),early Hallstatt period (HaC-D1)
starší doba halštatská (hac–d1),Early Hallstatt Period (HaC–D1)
starší doba hradištní,early hillfort period
starší doba stěhování národů,Early Migration Period
starší doba římská,Early Roman Period
starší eneolit,Early Eneolithic
starší neolit,Early Neolithic
starší paleolit,Lower Palaeolithic
statistická analýza,statistical analysis
statistická databáze,statistical database
statistická klasifikace,statistical classification
statistická metoda,statistical methods
statistické vzorkování,statistical sampling
statistické šetření,statistical inquiry
statistický model,statistical model
statistický výběr,statistical sampling
statistika,statistics
statér,stater
stavba,construction
stavební huť,construction smelter
stavební jáma,construction pit
stavební keramika,construction ceramics
stavební kámen,building stone
stavební odpad,building waste
stavební prvek,architectural element
stavební právo,building law
stavební zámečnictví,building locksmithery
stavební/spojovací prvek,structural element component
stavebně-historický průzkum,building-historical survey
stavovský stát,State of the Estates
stavy,Estates
stavění májů,Building maypoles
step,steppe
stezka,trail
stilo,stylus
stilus,stylus
stodola,barn
stola,stola
stolní nádobí,tableware
stopy orby,plough marks
stoá,stoa
stratigrafie,stratigraphy
strigolnici,strigolniki
stroj,machine
strop,ceiling
stropní malba,ceiling painting
struktura,structure
struktura osídlení,settlement patterns
strukturalismus,structuralism
strukturní geologie,structural geology
